Naam,ID,Website,Ultimate klant,Asana_ID,Duits SEO,Wie,Land,Provincie,Toeristische Regio,latitude,longitude,Plaats,Primaire doelgroep,Omgeving,Aantal sterren,Kampeerplekken,Camperplaats,Vakantiehuizen,Chalets/stacaravans,Groepsacco's,Bijzondere acco's,Glamping,Appartementen,Events (als overnachtingslocatie),Faciliteiten,Zwemmogelijkheden,Binnenzwembad,Buitenzwembad,Zwemvijver/-meer,Buitenspeeltuin,Indoorspeeltuin,Restaurant,Bar,Supermarkt,Snackbar,Bowling,Fietsverhuur,Wellness op het park,Wellness bij accommodatie,Laadpaal,Mindervalide woningen,Kampeerplek met privé sanitair,Vismogelijkheden,Watersport,Padel,Tennis,Multicourt,Voetbalveld,Minigolf,Golf,Bootverhuur,Jachthaven,Duurzaamheid,Christelijk,Vuurwerkvrij,Animatie,Huisdier toegestaan,Kindvriendelijk,In / bij het bos,Aan zee,Aan het water (excl zee),BBQ op het park/bij woning,Accommodatie Types,pets_allowed_at_accommodation,bbq_at_accommodation,sauna_at_accommodation,jacuzzi_at_accommodation
EuroParcs Gulperberg,2528,https://www.europarcsgulperberg.nl/,EP,1210207795899977,x,,Nederland,Limburg,Zuid-Limburg,"50,8075376","5,8969729",,,"GaiaZoo, Thermae 2000, Plopsa Indoor Hasselt, Tickets met korting, Maastricht, Mosaqua Subtropisch Zwemparadijs, Fiets- en wandelroutes, De grotten van Valkenburg, Natuurhistorisch museum Maastricht, Drielandenpunt en Vaalserberg, Valkenburg, Stoomtrein 'Miljoenenlijn', Discovery Museum, Amerikaanse Begraafplaats, Wielrennen Zuid-Limburg, Mountainbikeroutes, Mergellandroute, Pietersheim, Kasteel Hoensbroek, Aken, BloteVoetenPark Brunssum, Nederlands Mijnmuseum Heerlen, SnowWorld",,Ja,Ja,Ja,,,,Ja,,,"Sauna, Fietsverhuur, Parkshop, Restaurant, Buitenzwembad, Hond mee op vakantie?, Animatie, Escape Box ''Pyramid'', Aanbevolen route, Foodboxen, Speeltuin, Wasserette, Sanitair",Nee,,,,,,Ja,,,,,Ja,"Ja, sauna",,Nee,,,,,,,,,,,,,,,,Ja,Ja,Ja,,,,Nee,"29.6% Chalet (8), 22.2% Kampeerplaats (6), 18.5% Loge (5), 14.8% Glampingtent (4), 7.4% Tiny house (2), 3.7% Bijzondere accommodatie (1), 3.7% Trekkershut (1)","37% some (10), 37% all (10), 25.9% none (7)",0% (0),0% (0),0% (0)
EuroParcs Hermagor-Nassfeld,2529,https://www.europarcshermagornassfeld.at/,EP,1210204263333101,x,,Oostenrijk ,Oostenrijk,,"46,633743","13,3951688",,,"Skien in Nassfeld, Langlaufen in het Gailtal, Skigebied Weissbriach, Burg Landskron, Nassfeld, Weissensee, Garnitzenklamm, Tennis, Strandbad Hermagor, Weissensee, Strandbad van Schulga, Kerstmarkt in Villach, Kertstmarkt in Klagenfurt, COOL'S Rafting and Outdoor Activities",,Ja,Ja,Ja,,,,Nee,,,"Wintersport, Indoor pool, Sauna & Wellness, WinterCard PREMIUM, Restaurant EuroParcs Hermagor Nassfeld, Games room, Massage, Free +CARD Holiday, Playground, Animation, Swimming pool, Outdoor pool, Escape Box ""Pyramid"", 24/7 Mini-Markt, Petting Zoo, Gym, Bike Rental, Dogs, Bread service, Laundry, Sanitary, Bus, Live webcam, Ski drying room, Ski bus",Nee,,,,,,Ja,,,,,,Ja sauna,,Nee,,,,,,,,,,,,,,,,Ja,Ja,Ja,,,,Nee,"46.2% Kampeerplaats (6), 23.1% Loge (3), 15.4% Appartement (2), 7.7% Chalet (1), 7.7% Trekkershut (1)","84.6% all (11), 15.4% none (2)",0% (0),0% (0),0% (0)
EuroParcs Het Amsterdamse Bos,2530,https://www.europarcshetamsterdamsebos.nl/,EP,1210204263332786,x,,Nederland,Noord-Holland,,"52,2941724","4,8235074",,,"Lovers Canal Cruises, Body Worlds, Artis, Tickets met korting, Boot huren, Fiets- en wandelroutes, Amsterdam, Nationaal Park Zuid-Kennemerland, Marken, Du Monde Escape Rooms Amstelveen, Alkmaar, Keukenhof, Volendam, Golfbaan Beemster, Tours en tickets Amsterdam, Klimpark Fun Forest Amsterdam, Batavia Stad Fashion Outlet, De Bazaar, Forten in de Beemster, Edam, Geitenboerderij Ridammerhoeve, Zaanse Schans, Sup & Meer, Monnickendam, Marker Museum, Recreatiegebied Het Twiske, Hoorn, Zuiver Amsterdam, Haarlem",,Ja,Ja,Ja,,,,Ja,,,"Fietsverhuur, Foodtruck, Self service parkshop, Speeltuin, Foodboxen, Animatieactiviteiten, Sanitair, Braai BBQ, Tickets met korting, Vuurwerkarm, Bereikbaarheid openbaar vervoer, Escape Box ''Pyramid'', Wasserette, Hond mee op vakantie?",Nee,,,,,,,,,,,Ja,,,Nee,,,,,,,,,,,,,,,,"Ja, in het hoogseizoen",Ja,Ja,,,,"Ja, een Braai BBQ + service","25.8% Loge (8), 22.6% Kampeerplaats (7), 19.4% Trekkershut (6), 16.1% Chalet (5), 6.5% Hotel-Studio (2), 6.5% Glampingtent (2), 3.2% Appartement (1)","51.6% all (16), 48.4% some (15)",0% (0),0% (0),0% (0)
EuroParcs Hindeloopen,2531,https://www.europarcshindeloopen.nl/,EP,"1,21021E+15",x,,Nederland,Friesland,,"52,9248637","5,410105",,,"Elfstedenroute, Leeuwarden, Sneek, Het Elfsteden schaatsmuseum, Tickets met korting, Museum Hindeloopen, Fietsroute Hindeloopen, Bossen van Gaasterland, Workum, Makkum, Aqua Zoo Leeuwarden",,Nee,,Ja,,,,Nee,,,"Strand, Broodjesservice, Parkshop, Fietsverhuur, Snackbar, Indoor speeltuin, Speeltuin, Escape Box ''Pyramid'', Vuurwerkarm, Foodboxen, Animatie",Nee,,,,,,,Ja,,Ja,,Ja,,,Nee,Ja,,,,,,,,,,,,,,,Ja in de zomervakantie,Ja,Ja,,,,"Ja, barbecue services","50% Loge (7), 21.4% Chalet (3), 21.4% Tiny house (3), 7.1% Grote accommodatie (1)","42.9% some (6), 42.9% none (6), 14.3% all (2)",0% (0),0% (0),0% (0)
EuroParcs Hoge Kempen,2532,https://www.europarcshogekempen.be/,EP,1210207742416547,x,,België,Limburg,,"50,9264018","5,5518439",,,"Gaiazoo, Thermae 2000, Plopsa Indoor Hasselt, Tickets met korting, Landcommanderij Alden Biesen, Well-Care Privé Wellness & Spa, Natuurhistorisch museum Maastricht, Blotevoetenpad Lieteberg, Openluchtmuseum Bokrijk, Kattevennen, Bezoekerscentrum Lieteberg, Fietsroute 'Fietsen door het water', Kelchterhoef De Plas, Vallei van de Kikbeekbron, Steinerbos, Maasmechelen Village, Terhills, Nationaal Park Hoge Kempen, Avonturenberg, Wandelen Zutendaal, Mechelse Heide, Binnenzwembad de Kimpel, Escape Room, Hasselt, Pietersheim, Karting Genk, Fietsen Zutendaal, Alpaca Reickheim wandeling, C-mine, Sparkx Sportentertainment park",,Ja,Ja,Ja,,,,Nee,,,"Minigolf, Escape Box ''Pyramid'', Fietsverhuur, Restaurant, Yuki's Safari Adventure, Animatieactiviteiten, Spraypark, Foodboxen, Broodjesservice, Binnenspeeltuin, Speeltuin, Fotograaf Foto PK, Buitenzwembad, Binnenzwembad De Kimpel, Hond mee op vakantie?, E-chopper verhuur, Sportveld, Vuurwerkvrij, Oplaadpunt elektrische auto, Massage Body Fit, Vissen, Sanitair",Nee,,,,,,Ja,,,,,,"Ja, sauna",,Ja,,,,,,,,,,,,,,,,Ja,Ja,Ja,,,,Nee,"32.6% Chalet (14), 32.6% Loge (14), 11.6% Glampingtent (5), 9.3% Kampeerplaats (4), 7% Bijzondere accommodatie (3), 2.3% Hotel-Studio (1), 2.3% Tiny house (1), 2.3% Wellness suite (1)","44.2% all (19), 34.9% some (15), 20.9% none (9)",0% (0),2.3% (1),0% (0)
EuroParcs Hooge Veluwe,2533,https://www.europarcsdehoogeveluwe.nl/,EP,1210204263332856,x,,Nederland,Gelderland,Veluwe,"52,0305556","5,8652778",,,"Burgers' Zoo, Nationaal Park De Hoge Veluwe, Kinderpretpark Julianatoren, Paleis Het Loo, Tickets met korting, Ouwehands Dierenpark, Kasteel Rosendael, Kootwijkerzand, Apenheul, Edese Golf Club Papendal, Arnhem, Veluwsche stoomtrein, Fiets- en wandelroutes Hoge Veluwe, Openluchtmuseum Arnhem, Tennissen in Schaarsbergen, Kröller-Müller Museum, Posbank, Huis Zypendaal, Kasteel Doorwerth",,Nee,,Ja,,,,Nee,,,"Animatie activiteiten, Binnenzwembad, Restaurant, Fitness, Parkshop, Broodjes bestellen, Fietsverhuur, E-chopper verhuur, Escape Box ''Pyramid'', Vuurwerkvrij, Speeltuinen, Sport, Wasserette, Buitenzwembad",Nee,,,,,,Ja,,,,,,"Ja, Sauna en Hottub ",,Nee,,,,,,,,,,,,,,,,Ja,Ja,Ja,,,,Nee,"53.7% Loge (36), 29.9% Chalet (20), 4.5% Hotel-Studio (3), 4.5% Vakantiehuis (3), 3% Tiny house (2), 1.5% Grote accommodatie (1), 1.5% Stacaravan (1), 1.5% Wellness suite (1)","38.8% some (26), 38.8% all (26), 22.4% none (15)",0% (0),1.5% (1),1.5% (1)
EuroParcs IJsselmeer,2534,https://www.europarcsijsselmeer.nl/,EP,1210207742416722,x,,Nederland,Noord-Holland,,"52,7637549","5,1160256",,,"Zuiderzeemuseum, Artis, Lovers Canal Cruises, Tickets met korting, Sprookjeswonderland, Medemblik, Stoomtrein Hoorn, Alkmaar, Golfbaan de Vlietlanden, Batavia Stad Fashion Outlet, Fiets- en wandelroutes, Suppen, Klimpark Streekbos, Blotevoetenpad, Regatta Center, Museum BroekerVeiling, Bakkerij museum De Oude Bakkerij, Molen De Herder, Enkhuizen, Oorlogsmuseum Medemblik, Hoorn",,Nee,,Ja,,,,Nee,,,"Verwarmd binnenzwembad, Restaurant, Broodjesservice, Bootverhuur, Zandstrand, Fietsverhuur, Sup verhuur, E-chopper verhuur, Vissen, Speeltuinen, Escape Box ''Pyramid'', Trailerhelling, Foodboxen, Oplaadpunt elektrische auto, Hond mee op vakantie?, Tickets met korting, Vuurwerkarm, Minishop, Animatieactiviteiten",Nee,,,,,,Ja,,,,,,"Ja, Sauna en Jacuzzi ",,Ja ,,,,,,,,,,,,,,,,Ja,Ja,Ja,,,,"Ja, Kamado BBQ ","86.4% Vakantiehuis (19), 9.1% Grote accommodatie (2), 4.5% Loge (1)","50% some (11), 27.3% none (6), 22.7% all (5)",0% (0),40.9% (9),18.2% (4)
EuroParcs Kaatsheuvel,2535,https://www.europarcskaatsheuvel.nl/,EP,1210207742416267,x,,Nederland,Noord-Brabant,Loonse en Drunense Duinen,"51,6608542","5,0624178",,,"De Efteling, Tickets met korting, Nationaal Park De Loonse en Drunense Duinen, Dierenpark De Oliemeulen, De Voltage, Den Bosch, Recreatiepark Pukkemuk, Safaripark Beekse Bergen, Fiets- en wandelroutes, Vestingstad Heusden, Highscore, Doloris' Meta Maze, Nationaal Park De Biesbosch, Holy Moly Trip, Tilburg, Experience Island, Breda, Tilburgse Kermis, Museum Het Schoenenkwartier, Stedelijk Museum Breda",,Nee,,Ja,,,,Nee,,,"Binnenzwembad, Fietsverhuur, Grand Café Het Wapen van Kaatsheuvel, Indoor speeltuin, Yuki speurtocht, Blotevoetenpad, Luxe Steakhouse Het Wapen van Kaatsheuvel, Oplaadpunten elektrische auto’s, X-Cube Escape Room, Kabouterroute, Hond mee op vakantie?, E-chopper verhuur, Foodboxen, Escape Box ''Pyramid'', Animatieactiviteiten, Snackbar, Minimarkt, Buitenzwembad, Minigolf, Vuurwerkvrij, Tickets met korting",Nee,,,,,,,,,,,,"Ja, sauna",,Ja,,,,,,,,,,,,,,,,Ja,Ja,Ja,,,,Nee,"46.7% Chalet (21), 33.3% Loge (15), 6.7% Bijzondere accommodatie (3), 6.7% Tiny house (3), 4.4% Glampingtent (2), 2.2% Grote accommodatie (1)","51.1% all (23), 33.3% some (15), 15.6% none (7)",0% (0),4.4% (2),0% (0)
EuroParcs Kagerplassen,2536,https://www.europarcs-kagerplassen.nl/,EP,"1,21021E+15",x,,Nederland,Zuid-Holland,,"52,199911","4,5539545",,,"Archeon Museumpark, Corpus experience, Wellnessresort Elysium, Tickets met korting, Leiden, Binnenzwembad De Does, Duinrell, Keukenhof, Bloemencorso, Westfield Mall of the Netherlands, Tulip Experience, Elektrische GPS audiotour met Renzy, Het LAM museum",,Nee,,Ja,,,,Nee,,,"Jachthaven, Jeu de boules, Fietsverhuur, Parkshop, Broodjesservice, Escape Box ''Pyramid'', Kanoverhuur, Activiteitenkalender, Foodboxen, Wasserette, Vuurwerkvrij, Speeltuin, Airtrampoline, Sup verhuur, Bootverhuur, Tafeltennistafels",Nee,,,,,,,,,,,Ja,"Ja, Sauna en Hottub ",,Nee,,,,,,,,,,,,,,,,Ja,Ja ,Ja,,,,Nee,"28.6% Chalet (6), 23.8% Active Owner Accommodaties (5), 23.8% Loge (5), 19% Ligplaatsen (4), 4.8% Tiny house (1)","66.7% all (14), 28.6% some (6), 4.8% none (1)",0% (0),0% (0),4.8% (1)
EuroParcs Kohnenhof,2537,https://www.europarcskohnenhof.lu/nl,EP,1210206600221067,x,,Luxemburg ,,,"50,0165885","6,1359707",,,"AquaNat’Our, Müllerthal, Wandelen, Vianden, Echternach, Clervaux, Luxembourg Card, Kopermijn Museum, Kasteel van Clervaux, Natuurpark Boven-Sûre",,Ja,Ja,Ja,,,,Nee,,,"Restaurant, Speeltuinen, Multiplay, Tafeltennis, Winkel & broodjes, Bistro, Snackbar, Fitnessruimte, Oplaadpunt elektrische auto, Escape Box ''Pyramid'', Animatieactiviteiten, Vissen, Wasserette, Vuurwerkvrij",Nee,,,,,,Ja,,,,,,Nee,,Ja,,,,,,,,,,,,,,,,Ja,Ja,Ja,,,,Nee,"35.7% Kampeerplaats (5), 28.6% Chalet (4), 28.6% Loge (4), 7.1% Tiny house (1)","64.3% all (9), 28.6% some (4), 7.1% none (1)",0% (0),0% (0),0% (0)
EuroParcs Koningshof,2538,https://www.europarcskoningshof.nl/,EP,1210206602218415,x,,Nederland,Noord-Holland,,"52,6908692","4,7015091",,,"Lovers Canal Cruises, Body Worlds, Artis, Tickets met korting, Nationaal Park de Schoorlse Duinen, Speelpark De Goudvis, Zee Aquarium, Fiets- en wandelroutes, Bergen, Alkmaar, Mountainbike Parcours Schoorl, Petten aan Zee, Hoorn, Medemblik, Dierenpark Van Blanckendaell Park, Alpaca Eco Farm, Museum BroekerVeiling, Zaanse Schans, Land van Fluwel, Marinemuseum, Forten in de Beemster, Sint-Adelbertabdij, Watersport in Schoorl",,Nee,,Ja,,,,Nee,,,"Fietsverhuur, Broodjesservice, Wasserette, Foodboxen, Speeltuin, Activiteitenkalender, Escape Box ''Pyramid'', Oplaadpunt elektrische auto's, Vuurwerkarm",Nee,,,,,,,,,,,Ja,"Ja, Sauna en Jacuzzi ",,Ja,,,,,,,,,,,,,,,,Ja in de zomervakantie,Ja,Ja,,,,Ja,"72.7% Vakantiehuis (8), 27.3% Loge (3)","45.5% some (5), 45.5% all (5), 9.1% none (1)",0% (0),18.2% (2),9.1% (1)
EuroParcs Limburg,2539,https://www.europarcslimburg.nl/,EP,1210207742416442,x,,Nederland,Limburg,Midden-Limburg,"51,0699024","5,8858717",,,"Fiets- en wandelroutes, Stoomtrein 'Miljoenenlijn', Toverland, De grotten van Valkenburg, Susteren, Kasteelpark Born, Designer Outlet Roermond, All in Echt Activiteitenlocatie, SnowWorld, Maasmechelen Village, GaiaZoo, Aken, Terhills, Footgolf, IJzerenbos, Tickets met korting, Max Verstappen Store, Thermae 2000, Brunssummerheide, Golfbaan Brunssummerheide, Nederlands Mijnmuseum Heerlen, Drielandenpunt en Vaalserberg, Beaver Creek Wake Park, Thermenmuseum, Mechelse Heide, Valkenburg, Wielrennen Zuid-Limburg, Golfbaan Echt-Susteren",,Nee,,Ja,,,,Nee,,,"Binnenzwembad, Wellness Center, Yuki's Winter Wonderland, Indoor speelparadijs, Yuki's Safari Adventure, Restaurant, Funzone, Escape Box ''Pyramid'', Animatieactiviteiten, E-chopper verhuur, Foodboxen, Multifunctioneel sportveld, Wasserette, Fietsverhuur, Dorpsplein, Strandbad, Snackbar, Self service parkshop, Tickets met korting, Hondenweide, Dierenweide, Minigolf, Sup verhuur, Hond mee op vakantie?, Oplaadpunt elektrische auto, Vissteiger, Natuurspeeltuin",Nee,,,,,,Ja,,,,,Ja,"Ja, Sauna ",,Ja,,Ja,,,,,,,,,,,,,,Ja in de zomervakantie,Ja,Ja,,,,Nee,"44.4% Loge (32), 25% Chalet (18), 22.2% Grote accommodatie (16), 4.2% Groepsaccommodatie (3), 2.8% Vakantiehuis (2), 1.4% Tiny house (1)","51.4% all (37), 41.7% some (30), 6.9% none (5)",0% (0),15.3% (11),0% (0)
EuroParcs Maasduinen,2540,https://www.europarcsmaasduinen.nl/,EP,1210204263332926,x,,Nederland,Limburg,Midden-Limburg,"51,3067264","6,1464443",,,"Toverland, Mind Mystery, Tickets met korting, Nationaal Park de Maasduinen, Speelpark Klein Zwitserland, Designer Outlet Roermond, Wandel- en fietsroutes Belfeld, Thermaalbad Arcen, Kasteeltuinen Arcen, Steyl, Golfclub De Herkenbosche, Hertog Jan Brouwerij, Euro Indoorkarting & Bowling Swalmen, Klimpark Fun Forest Venlo-Tegelen",,Ja,Ja,Ja,,,,Ja,,,"Overdekt zwembad & Infrarood sauna, Restaurant Sophia's, Fietsverhuur, Broodjesservice, Foodboxen, Strand- en natuurmeer, Animatieactiviteiten, Mini dierenweide, Self service parkshop, E-chopperverhuur, Escape Box ''Pyramid'', Sup verhuur, Tickets met korting, Wasserette, Speeltuin, Hond mee op vakantie?, Fitness, Vuurwerkvrij",Nee,,,,,,Ja,,,,,,"Ja, sauna",,Nee,,,,,,,,,,,,,,,,Ja,Ja,Ja,,,,Nee,"51.9% Loge (28), 35.2% Chalet (19), 3.7% Tiny house (2), 3.7% Glampingtent (2), 1.9% Grote accommodatie (1), 1.9% Vakantiehuis (1), 1.9% Kampeerplaats (1)","51.9% all (28), 42.6% some (23), 5.6% none (3)",0% (0),3.7% (2),0% (0)
EuroParcs Marina Strandbad,2541,https://www.europarcsmarinastrandbad.nl/,EP,"1,21021E+15",x,,Nederland,Gelderland,IJssel,"52,0384082","6,1339617",,,"Burgers' Zoo, Apenheul, Paleis Het Loo, Tickets met korting, Veluwsche stoomtrein, Nationaal Park De Hoge Veluwe, Arnhem, Posbank, Bronckhorster Brewing Company, Openluchtmuseum Arnhem, 8 Kastelenroute, Kasteel Vorden, Bronkhorst, Zutphen, Beachclub & Waterskibaan, Het Land van Jan Klaassen, Wijnroutes en wijnproeven Achterhoek, Padellen Apeldoorn",,Ja,Ja,Ja,,,,Nee,,,"Fietsverhuur, E-chopper verhuur, Broodjesservice, Restaurant, Verwarmd buitenzwembad, Animatieactiviteiten, Escape Box ''Pyramid'', Jachthaven, Bootverhuur, Wellnesscentrum, Strandje aan de rivier, Minimarkt, Speeltuinen, Sup- en kano verhuur, Vissen, Wasserette, Foodboxen, Fitnessruimte, Bereikbaarheid openbaar vervoer, Tickets met korting",Nee,,,,,,Ja,,,,,,"Ja, hottub, sauna en wellnesscentrum ",,Nee,,,,,,,,,,,,,,,,Ja,Ja,Ja,,,,Nee,"40.9% Loge (18), 27.3% Chalet (12), 6.8% Active Owner Accommodaties (3), 6.8% Kampeerplaats (3), 4.5% Grote accommodatie (2), 4.5% Tiny house (2), 4.5% Wellness suite (2), 2.3% Ligplaatsen (1), 2.3% Bijzondere accommodatie (1)","47.7% all (21), 43.2% some (19), 9.1% none (4)",0% (0),6.8% (3),2.3% (1)
EuroParcs Markermeer,2542,https://www.europarcsmarkermeer.nl/,EP,"1,21021E+15",x,,Nederland,Noord-Holland,,"52,68681","5,25291",,,"Zuiderzeemuseum, Dolfinarium, Walibi Holland, Tickets met korting, Sprookjeswonderland, Binnenzwembad Enkhuizerstrand, Happy days Noord-Holland, Batavia Stad Fashion Outlet, Enkhuizen, Batavialand, Hoorn, Hoornse Kermis, Blotevoetenpad, Klimpark Streekbos, Best Escape Room Purmerend, Medemblik, Forten in de Beemster, Alkmaar, Volendam, Fiets- en wandelroutes, Suppen, Paardenraces, Dirk de Wit Mode",,Nee,,Ja,,,,Nee,,,"Broodjesservice, Hond mee op vakantie?, Foodboxen, Escape Box ''Pyramid'', Sup verhuur, Speeltuinen, Activiteitenkalender, Tickets met korting, Bereikbaarheid openbaar vervoer, Vuurwerkvrij",Nee,,,,,,,,,,,,,,Nee,,,,,,,,,,,,,,,,,Ja,Ja,,,,Nee,"58.3% Loge (7), 33.3% Chalet (4), 8.3% Tiny house (1)","58.3% all (7), 41.7% some (5)",0% (0),0% (0),0% (0)
EuroParcs Molengroet,2543,https://www.europarcsmolengroet.nl/,EP,1210206602218555,x,,Nederland,Noord-Holland,,"52,6944729","4,7704154",,,"Lovers Canal Cruises, Body Worlds, Artis, Tickets met korting, Zee Aquarium, Alkmaar, Recreatiegebied Geestmerambacht, Amsterdam, Nationaal Park de Schoorlse Duinen, Land van Fluwel, Volendam, Tulpenvelden Anna Paulowna, Fort Resort Beemster, Alpaca Eco Farm, Zaanse Schans, Recreatiegebied Het Twiske, Winters winkelen in Alkmaar, Hoorn, Schermer Molens, Monnickendam, Marinemuseum, Petten aan Zee, Bergen, Enkhuizen, Edam, Museum BroekerVeiling",,Ja,Ja,Ja,,,,Ja,,,"Restaurant, Sportfaciliteiten, Fietsverhuur, Parkshop, Dierenweide, Escape Box ''Pyramid'', Hond mee op vakantie?, Foodboxen, Sanitair, Vuurwerkarm, Speeltuinen, Animatieprogramma, Buitenzwembad, Tickets met korting, Wasserette",Nee,,,,,,Ja,,,,,Ja,Nee,,Nee,,,,,,,,,,,,,,,,Ja,Ja,Ja,,,,Nee,"37.5% Loge (12), 25% Chalet (8), 21.9% Glampingtent (7), 9.4% Kampeerplaats (3), 3.1% Groepsaccommodatie (1), 3.1% Stacaravan (1)","50% all (16), 28.1% some (9), 21.9% none (7)",0% (0),0% (0),0% (0)
EuroParcs Noordwijkse Duinen,2544,https://www.europarcsnoordwijkseduinen.nl/,EP,1210207742416652,x,,Nederland,Zuid-Holland,,"52,286621","4,4898701",,,"Archeon Museumpark, Corpus experience, Diergaarde Blijdorp, Tickets met korting, Fiets- en wandelroutes, Tulip Experience, Leiden, Amsterdamse Waterleidingduinen, Golfbanen Noordwijkerhout, Elektrische GPS audiotour met Renzy, Escape Room Zandvoort, Zandvoort, Noordwijk = heilzame badplaats, Nationaal Park Zuid-Kennemerland, Bloemencorso, Volkssterrenwacht Copernicus, Keukenhof, Het LAM museum, Haarlem, Duinrell",,Ja,Ja,Ja,,,,Nee,,,"Fietsverhuur, E-chopper, Self service parkshop, Foodboxen, Verwarmd buitenzwembad, Animatieprogramma, Broodjesservice, Wasserette, Tickets met korting, Vuurwerkvrij, Activiteitenkalender, Speeltuin, Yuki speurtocht, Escape Box ''Pyramid'', Boek jouw vakantie met de hond!, Oplaadpunt elektrische auto",Ja,,Ja,,,,,,,,,Ja,,"Ja, accommodaties met jacuzzi",Ja,,,,,,,,,,,,,,,,"Ja, in de schoolvakanties",Ja,Ja,,,,"Ja, barbecue services","44.4% Chalet (8), 33.3% Loge (6), 11.1% Appartement (2), 5.6% Stacaravan (1), 5.6% Kampeerplaats (1)","50% some (9), 50% all (9)",0% (0),0% (0),5.6% (1)
EuroParcs Ossiacher See,2545,https://www.europarcsossiachersee.at/,EP,1210204263333136,x,,Oostenrijk ,Oostenrijk,,"46,6636838","13,9744065",,,"Skigebied Gerlitzen Alpen, Thermale baden, Rodelen, Villach, Schaatsen, Klagenfurt, Kabelbanen Gerlizten, Burg Landskron, Zomerrodelbaan, Ossiacher See boottocht, Klimpark Familywald, Golfbaan, Dierenpark, Minimundus, Grotten Bad Eiselkappel, Terra Mystica, Reptilienzoo Happ, Natuurpark Dobratsch",,Nee,Nee,Ja,,,,Nee,,,"Gratis Erlebnis CARD, Wintersport, Restaurant Martinz, Mountainbike routes, Minigolf, Winter Karinthië Kaart, Broodjesservice, Strand, Speeltuin, Animatie, Sport & Spel, Watersport, Escape Box ''Pyramid'', Parkshop, Vissen, Wasserette",Nee,,,,,,Ja,,,,,,"Ja, Jacuzzi ",,Nee,,,,,,,,,,,,,,,,Ja,Ja,Ja,,,,Nee,"43.8% Chalet (7), 31.3% Loge (5), 12.5% Kampeerplaats (2), 6.3% Hotel-Studio (1), 6.3% Tiny house (1)","62.5% all (10), 25% some (4), 12.5% none (2)",0% (0),0% (0),12.5% (2)
EuroParcs Parc du Soleil,2546,https://www.europarcsparcdusoleil.nl/,EP,1210207792926601,x,,Nederland,Noord-Holland,,"52,2703498","4,4748261",,,"Archeon Museumpark, Corpus experience, Diergaarde Blijdorp, Tickets met korting, Fiets- en wandelroutes, Westfield Mall of the Netherlands, Duinrell, Leiden, Keukenhof, Bloemencorso, Buitenzwembad Aarweide, Haarlem, Bowlen en virtual golfen, Golfbanen Noordwijkerhout, Escape Room Zandvoort, Jumpin' Noordwijk, Het LAM museum, Amsterdamse Waterleidingduinen, Museum Engelandvaarders, Nationaal Park Zuid-Kennemerland, Linnaeushof, De Rollygolf, Elektrische GPS audiotour met Renzy, Spa & Wellnesscentrum Azzurro",,Nee,,Ja,,,,Nee,,,"Binnenzwembad, Restaurant Eeterij de Beleving, Self service parkshop, Binnenspeeltuin, Foodboxen, Speeltuinen, Fietsverhuur, Escape Box ''Pyramid'', Oplaadpunt elektrische fiets, Animatie, Oplaadpunt elektrische auto, Hond mee op vakantie?, Wasserette, Bereikbaarheid openbaar vervoer, Vuurwerkvrij",nee,,,,,,Ja,,,,,,Nee,,Ja,,,,,,,,,,,,,,,,Ja,Ja,Ja,,,,Nee,"64.3% Chalet (9), 35.7% Loge (5)","57.1% all (8), 28.6% some (4), 14.3% none (2)",0% (0),0% (0),0% (0)
EuroParcs Poort van Amsterdam,2547,https://www.europarcspoortvanamsterdam.nl/,EP,1210207742416232,x,,Nederland,Noord-Holland,,"52,4276919","5,0741816",,,"Lovers Canal Cruises, Body Worlds, Artis, Tickets met korting, NEMO Science Museum, Hoorn, Groepsuitjes Volendam, Volendam, Zaanse Schans, Stoomtrein Hoorn, Monnickendam, Jump Skillz Purmerend, Amsterdam, Marken Express, Boot huren, Marken, Fort Resort Beemster, Batavia Stad Fashion Outlet, Rijksmuseum, Recreatiegebied Twiske-Waterland, Marker Museum, Schermer Molens, Simonehoeve, Edam, Fiets- en wandelroutes, Bowling De Zedde, Heineken Experience",,Ja,Ja,Ja,,,,Nee,,,"Binnenzwembad, Wellness, Restaurant, Jachthaven, Indoor speeltuin, Vissen, Fietsverhuur, Foodboxen, Bereikbaarheid openbaar vervoer, E-chopper verhuur, Hond mee op vakantie?, Tickets met korting, Minimarkt, Speeltuin, Minigolf, Sup verhuur, Sanitair, Escape Box ''Pyramid'', Vuurwerkvrij, Snackbar, Broodjesservice, Animatieactiviteiten",Nee,,,,,,,,,,,,"Ja, sauna",,Nee,,,,,,,,,,,,,,,,Ja,Ja,Ja,,,,Nee,"27.7% Loge (13), 25.5% Grote accommodatie (12), 17% Vakantiehuis (8), 14.9% Kampeerplaats (7), 6.4% Appartement (3), 4.3% Ligplaatsen (2), 2.1% Groepsaccommodatie (1), 2.1% Hotel-Studio (1)","51.1% all (24), 25.5% some (12), 23.4% none (11)",0% (0),17% (8),0% (0)
